Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA;2021-09-27;2/2023;0,7422;0,7209;0,1592;0,4306;1,2552;80;0
IPCA;2021-09-28;3/2021;2,9546;3,04;0,2141;2,266;3,264;78;1
IPCA;2021-09-28;4/2021;1,5568;1,5578;0,2079;1,1342;2,0639;76;1
IPCA;2021-09-28;1/2022;1,2655;1,23;0,2279;0,621;1,7091;68;1
IPCA;2021-09-28;2/2022;0,7969;0,812;0,2531;0,1992;1,3558;67;1
IPCA;2021-09-28;3/2022;0,8546;0,8523;0,2177;0,0787;1,4775;67;1
IPCA;2021-09-28;4/2022;1,164;1,1744;0,2448;0,4397;1,8509;67;1
IPCA;2021-09-28;1/2023;1,0533;1,0537;0,2059;0,6012;1,6591;46;1
IPCA;2021-09-28;2/2023;0,7502;0,7309;0,1765;0,4306;1,2552;44;1
IPCA;2021-09-28;3/2021;2,9281;2,9687;0,1882;2,266;3,264;133;0
IPCA;2021-09-28;4/2021;1,5521;1,5375;0,2034;1,1342;2,1045;131;0
IPCA;2021-09-28;1/2022;1,2721;1,2148;0,2208;0,621;1,7398;123;0
IPCA;2021-09-28;2/2022;0,7591;0,782;0,2818;0,1393;1,5035;122;0
IPCA;2021-09-28;3/2022;0,8726;0,8926;0,2007;0,0787;1,4775;122;0
IPCA;2021-09-28;4/2022;1,1813;1,2047;0,2325;0,4397;1,8509;122;0
IPCA;2021-09-28;1/2023;1,0678;1,0632;0,1806;0,6012;1,6591;83;0
IPCA;2021-09-28;2/2023;0,7422;0,7209;0,1592;0,4306;1,2552;80;0
IPCA;2021-09-29;3/2021;2,9621;3,0454;0,2133;2,266;3,264;80;1
IPCA;2021-09-29;4/2021;1,5576;1,5593;0,2059;1,1342;2,0639;78;1
IPCA;2021-09-29;1/2022;1,2565;1,2149;0,2196;0,621;1,6814;70;1
