Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
Taxa de desocupação;2024-10-11;07/2025;7,128;7,2;0,4686;6,09;8,2;57;0
IPCA Livres;2024-10-11;07/2025;0,1751;0,19;0,0877;0,0;0,44;23;1
IPCA Livres;2024-10-11;07/2025;0,1854;0,185;0,0831;0,0;0,45;82;0
IPCA Serviços;2024-10-11;07/2025;0,4079;0,38;0,1212;0,25;0,68;22;1
IPCA Serviços;2024-10-11;07/2025;0,4111;0,4;0,1105;0,1;0,75;78;0
IPCA Bens industrializados;2024-10-11;07/2025;0,0737;0,07;0,1049;-0,12;0,29;19;1
IPCA Bens industrializados;2024-10-11;07/2025;0,077;0,06;0,1013;-0,16;0,31;75;0
IPCA Alimentação no domicílio;2024-10-11;07/2025;-0,1444;-0,1;0,1924;-0,51;0,26;17;1
IPCA Alimentação no domicílio;2024-10-11;07/2025;-0,1235;-0,095;0,292;-1,51;0,33;74;0
IPCA Administrados;2024-10-11;07/2025;0,3305;0,3365;0,2315;-0,38;0,78;21;1
IPCA Administrados;2024-10-11;07/2025;0,344;0,33;0,1842;-0,38;1,08;85;0
IGP-M;2024-10-11;06/2025;0,2556;0,25;0,1122;-0,1;0,45;29;1
IGP-M;2024-10-11;06/2025;0,2621;0,25;0,1553;-0,5;0,69;67;0
IPCA;2024-10-11;06/2025;0,2308;0,24;0,0759;0,03;0,3697;54;1
IPCA;2024-10-11;06/2025;0,2286;0,22;0,0863;-0,0901;0,5208;134;0
Câmbio;2024-10-11;06/2025;5,3463;5,35;0,1577;4,9;5,65;41;1
Câmbio;2024-10-11;06/2025;5,3479;5,35;0,1562;4,8;5,66;110;0
Taxa de desocupação;2024-10-11;06/2025;7,0015;7,0;0,4449;6,08;7,8;17;1
Taxa de desocupação;2024-10-11;06/2025;7,1096;7,2;0,474;6,08;8,1;57;0
IPCA Livres;2024-10-11;06/2025;0,2275;0,22;0,0798;0,0;0,38;23;1
IPCA Livres;2024-10-11;06/2025;0,2043;0,2;0,0877;-0,1809;0,39;82;0
IPCA Serviços;2024-10-11;06/2025;0,3466;0,33;0,0921;0,21;0,62;22;1
IPCA Serviços;2024-10-11;06/2025;0,3455;0,35;0,1247;-0,2276;0,63;78;0
IPCA Bens industrializados;2024-10-11;06/2025;0,162;0,15;0,1101;-0,13;0,36;19;1
IPCA Bens industrializados;2024-10-11;06/2025;0,1413;0,14;0,0953;-0,13;0,4;75;0
